date,code,boards,score,buy_price,next_pct,is_limit_up,ret
2025-06-03,000989,2,87.0,9.35,10.05,True,10.05
2025-06-03,000989,1,82.0,9.35,10.05,True,10.05
2025-06-03,002250,1,82.0,10.12,7.51,False,7.51
2025-06-03,603076,1,82.0,33.0,10.0,True,10.0
2025-06-03,603879,1,82.0,5.94,9.93,True,9.93
2025-06-04,000989,4,91.2,10.29,-4.76,False,-4.76
2025-06-04,000989,3,88.7,10.29,-4.76,False,-4.76
2025-06-04,300651,2,87.0,24.48,20.02,True,20.02
2025-06-04,603076,2,87.0,36.3,3.44,False,3.44
2025-06-04,600259,2,87.0,52.03,5.3,False,5.3
2025-06-05,002951,3,89.5,11.22,9.98,True,9.98
2025-06-05,605099,3,89.4,33.85,7.92,True,7.92
2025-06-05,300651,3,89.3,29.38,8.92,False,8.92
2025-06-05,002826,2,87.0,14.74,9.97,True,9.97
2025-06-05,002969,2,87.0,4.07,-4.67,False,-4.67
2025-06-06,603042,3,86.7,18.67,4.45,False,4.45
2025-06-06,000889,3,85.6,3.6,10.0,True,10.0
2025-06-06,605099,4,84.5,36.53,9.99,True,9.99
2025-06-06,603679,2,84.3,15.6,-2.82,False,-2.82
2025-06-06,002951,4,84.2,12.34,9.97,True,9.97
2025-06-09,000889,4,94.5,3.96,3.54,False,3.54
2025-06-09,605099,5,89.4,40.18,10.0,True,10.0
2025-06-09,002826,4,89.4,17.83,9.98,True,9.98
2025-06-09,003040,2,89.3,17.14,1.81,False,1.81
2025-06-09,300584,2,89.3,41.06,2.95,False,2.95
2025-06-10,605099,6,89.4,44.2,0.97,False,0.97
2025-06-10,600232,3,87.0,7.7,10.0,True,10.0
2025-06-10,002940,3,86.9,23.74,9.98,True,9.98
2025-06-10,600468,3,86.1,9.63,-9.87,False,-9.87
2025-06-10,600980,2,84.5,20.68,10.01,True,10.01
2025-06-11,600232,4,92.0,8.47,-1.65,False,-1.65
2025-06-11,603332,3,89.5,19.8,-2.27,False,-2.27
2025-06-11,600980,3,89.4,22.75,10.02,True,10.02
2025-06-11,002826,6,86.9,21.57,10.01,True,10.01
2025-06-11,603139,2,86.9,24.95,10.02,True,10.02
2025-06-12,002826,7,91.8,23.73,-5.39,False,-5.39
2025-06-12,600980,4,91.7,25.03,9.99,True,9.99
2025-06-12,002181,4,91.4,8.88,-10.02,False,-10.02
2025-06-12,603139,3,89.2,27.45,-4.55,False,-4.55
2025-06-12,603787,3,89.0,15.46,-9.38,False,-9.38
2025-06-13,600281,3,87.0,7.26,5.79,False,5.79
2025-06-13,002878,3,86.7,24.93,9.99,True,9.99
2025-06-13,601279,3,85.6,4.8,-8.75,False,-8.75
2025-06-13,600980,5,84.3,27.53,5.34,False,5.34
2025-06-13,003029,2,84.2,25.04,5.55,False,5.55
2025-06-16,002828,2,86.9,11.1,10.0,True,10.0
2025-06-16,688291,2,86.9,32.53,0.68,False,0.68
2025-06-16,300875,2,86.8,37.72,16.49,False,16.49
2025-06-16,002878,4,86.8,27.42,-8.32,False,-8.32
2025-06-16,603988,2,86.8,28.12,1.92,False,1.92
2025-06-17,002828,3,87.0,12.21,9.99,True,9.99
2025-06-17,002490,3,86.7,5.27,10.06,True,10.06
2025-06-17,002207,3,86.0,8.31,9.99,True,9.99
2025-06-17,002678,2,84.5,6.16,-5.84,False,-5.84
2025-06-17,002104,2,84.2,14.71,5.91,False,5.91
2025-06-18,000020,4,89.3,15.16,-3.83,False,-3.83
2025-06-18,002015,4,89.2,12.96,-8.41,False,-8.41
2025-06-18,600722,4,88.9,7.67,6.26,False,6.26
2025-06-18,002490,4,88.6,5.8,10.0,True,10.0
2025-06-18,002017,3,87.0,16.06,5.92,False,5.92
