date,code,name,boards,score,prob,rating,buy_price,next_date,next_close,next_pct,is_limit_up,is_limit_down,ret
2026-08-31,600540,新赛股份,3,88.0,0.7104,A+ 强预期,5.56,2026-09-01,6.12,10.07,True,False,10.07
2026-08-31,000712,锦龙股份,4,77.5,0.6875,A+ 强预期,12.98,2026-09-01,13.5,4.01,False,False,4.01
2026-08-31,603269,海鸥股份,3,76.5,0.6552,A+ 强预期,24.4,2026-09-01,25.34,3.85,False,False,3.85
2026-08-31,002886,沃特股份,3,72.0,0.6336,A+ 强预期,29.04,2026-09-01,28.04,-3.44,False,False,-3.44
2026-08-31,002396,星网锐捷,3,71.5,0.6312,A+ 强预期,40.36,2026-09-01,39.75,-1.51,False,False,-1.51
2026-09-01,600540,新赛股份,4,93.5,0.7675,A+ 强预期,6.12,2026-09-02,6.73,9.97,True,False,9.97
2026-09-01,003005,竞业达,3,90.5,0.7224,A+ 强预期,18.18,2026-09-02,20.0,10.01,True,False,10.01
2026-09-01,601086,国芳集团,3,87.5,0.708,A+ 强预期,10.09,2026-09-02,11.1,10.01,True,False,10.01
2026-09-01,002679,福建金森,3,85.0,0.696,A+ 强预期,12.91,2026-09-02,12.24,-5.19,False,False,-5.19
2026-09-01,600551,时代出版,3,76.0,0.6528,A+ 强预期,9.08,2026-09-02,8.62,-5.07,False,False,-5.07
2026-09-02,003005,竞业达,4,88.5,0.7425,A+ 强预期,20.0,2026-09-03,20.53,2.65,False,False,2.65
2026-09-02,601086,国芳集团,4,86.0,0.73,A+ 强预期,11.1,2026-09-03,12.21,10.0,True,False,10.0
2026-09-02,600892,大晟文化,3,84.5,0.6936,A+ 强预期,5.35,2026-09-03,5.45,1.87,False,False,1.87
2026-09-02,002909,集泰股份,3,84.0,0.6912,A+ 强预期,7.28,2026-09-03,8.01,10.03,True,False,10.03
2026-09-02,000892,欢瑞世纪,3,83.5,0.6888,A+ 强预期,5.2,2026-09-03,5.08,-2.31,False,False,-2.31
2026-09-03,002909,集泰股份,4,79.5,0.6975,A+ 强预期,8.01,2026-09-04,7.21,-9.99,False,True,-9.99
