date,code,name,boards,score,prob,rating,buy_price,next_date,next_close,next_pct,is_limit_up,is_limit_down,ret
2026-08-31,002133,广宇集团,1,80.0,0.224,B,3.1,2026-09-01,2.98,-3.87,False,False,-3.87
2026-08-31,301151,冠龙节能,1,80.0,0.224,B,20.74,2026-09-01,21.53,3.81,False,False,3.81
2026-08-31,002903,宇环数控,1,79.0,0.2224,B,31.85,2026-09-01,30.2,-5.18,False,False,-5.18
2026-08-31,002328,新朋股份,1,78.5,0.2216,B,8.5,2026-09-01,8.86,4.24,False,False,4.24
2026-08-31,000892,欢瑞世纪,1,78.5,0.2216,B,4.3,2026-09-01,4.73,10.0,True,False,10.0
2026-09-01,000635,英 力 特,1,79.5,0.2232,B,7.22,2026-09-02,7.94,9.97,True,False,9.97
2026-09-01,600313,农发种业,1,79.0,0.2224,B,7.9,2026-09-02,7.13,-9.75,False,False,-9.75
2026-09-01,000505,京粮控股,1,78.5,0.2216,B,7.74,2026-09-02,7.09,-8.4,False,False,-8.4
2026-09-01,600693,东百集团,1,78.5,0.2216,B,10.24,2026-09-02,10.04,-1.95,False,False,-1.95
2026-09-01,600828,茂业商业,1,78.5,0.2216,B,4.37,2026-09-02,4.81,10.07,True,False,10.07
2026-09-02,002886,沃特股份,1,72.0,0.2112,B,30.84,2026-09-03,27.76,-9.99,False,True,-9.99
2026-09-02,001278,一彬科技,1,71.0,0.2096,B,18.22,2026-09-03,17.56,-3.62,False,False,-3.62
2026-09-02,002632,道明光学,1,71.0,0.2096,B,9.88,2026-09-03,9.22,-6.68,False,False,-6.68
2026-09-02,002265,建设工业,1,70.5,0.2088,B,21.44,2026-09-03,20.92,-2.43,False,False,-2.43
2026-09-02,002639,雪人集团,1,70.5,0.2088,B,13.27,2026-09-03,14.07,6.03,False,False,6.03
2026-09-03,605398,新炬网络,1,74.5,0.2152,B,24.24,2026-09-04,26.66,9.98,True,False,9.98
2026-09-03,605088,冠盛股份,1,73.0,0.2128,B,21.84,2026-09-04,22.77,4.26,False,False,4.26
2026-09-03,300830,金现代,1,71.5,0.2104,B,10.09,2026-09-04,9.98,-1.09,False,False,-1.09
2026-09-03,600969,郴电国际,1,71.5,0.2104,B,10.7,2026-09-04,10.18,-4.86,False,False,-4.86
2026-09-03,603138,海量数据,1,71.0,0.2096,B,14.5,2026-09-04,15.33,5.72,False,False,5.72
2026-09-04,001366,播恩集团,1,76.5,0.2184,B,14.36,2026-09-07,15.8,10.03,True,False,10.03
2026-09-04,003040,楚天龙,1,71.0,0.2096,B,21.12,2026-09-07,22.95,8.66,False,False,8.66
2026-09-04,603390,通达电气,1,71.0,0.2096,B,11.11,2026-09-07,11.3,1.71,False,False,1.71
2026-09-04,603151,邦基科技,1,71.0,0.2096,B,18.13,2026-09-07,18.39,1.43,False,False,1.43
2026-09-04,002124,天邦食品,1,70.5,0.2088,B,2.42,2026-09-07,2.54,4.96,False,False,4.96
2026-09-07,002881,美格智能,1,84.0,0.2304,B,46.12,2026-09-08,47.51,3.01,False,False,3.01
2026-09-07,603118,共进股份,1,81.0,0.2256,B,17.89,2026-09-08,18.04,0.84,False,False,0.84
2026-09-07,002579,中京电子,1,80.5,0.2248,B,15.51,2026-09-08,17.06,9.99,True,False,9.99
2026-09-07,600280,中央商场,1,80.5,0.2248,B,3.43,2026-09-08,3.49,1.75,False,False,1.75
2026-09-07,002852,道道全,1,79.5,0.2232,B,9.36,2026-09-08,9.63,2.88,False,False,2.88
2026-09-08,000523,红棉股份,1,79.0,0.2224,B,3.96,2026-09-09,4.36,10.1,True,False,10.1
2026-09-08,000912,泸天化,1,79.0,0.2224,B,4.73,2026-09-09,5.2,9.94,True,False,9.94
2026-09-08,600880,博瑞传播,1,78.0,0.2208,B,4.58,2026-09-09,4.7,2.62,False,False,2.62
2026-09-08,603938,三孚股份,1,77.5,0.22,B,44.43,2026-09-09,47.11,6.03,False,False,6.03
2026-09-08,000011,深物业A,1,76.0,0.2176,B,9.49,2026-09-09,9.18,-3.27,False,False,-3.27
2026-09-09,000972,中基健康,1,73.0,0.2128,B,4.37,2026-09-10,4.24,-2.97,False,False,-2.97
2026-09-09,603162,海通发展,1,72.5,0.212,B,15.43,2026-09-10,15.52,0.58,False,False,0.58
2026-09-10,000722,湖南发展,1,67.0,0.2032,B,14.74,2026-09-11,15.21,3.19,False,False,3.19
2026-09-10,600744,华银电力,1,66.5,0.2024,B,7.0,2026-09-11,7.06,0.86,False,False,0.86
2026-09-10,603105,芯能科技,1,65.5,0.2008,B,8.38,2026-09-11,8.61,2.74,False,False,2.74
2026-09-10,603318,水发燃气,1,65.0,0.2,B,10.35,2026-09-11,9.92,-4.15,False,False,-4.15
2026-09-10,600667,太极实业,1,65.0,0.2,B,19.98,2026-09-11,19.5,-2.4,False,False,-2.4
2026-09-11,605058,澳弘电子,1,75.0,0.216,B,33.31,2026-09-14,36.64,10.0,True,False,10.0
2026-09-11,002161,远 望 谷,1,73.5,0.2136,B,8.04,2026-09-14,7.24,-9.95,False,True,-9.95
2026-09-11,605069,正和生态,1,73.5,0.2136,B,11.5,2026-09-14,12.65,10.0,True,False,10.0
2026-09-11,605011,杭州热电,1,72.0,0.2112,B,19.03,2026-09-14,20.3,6.67,False,False,6.67
2026-09-11,600207,安彩高科,1,71.0,0.2096,B,4.94,2026-09-14,5.1,3.24,False,False,3.24
2026-09-14,688004,博汇科技,1,76.5,0.2184,B,22.82,2026-09-15,27.38,19.98,True,False,19.98
2026-09-14,002212,天融信,1,73.5,0.2136,B,7.4,2026-09-15,7.77,5.0,False,False,5.0
2026-09-14,002669,康达新材,1,73.5,0.2136,B,13.75,2026-09-15,14.37,4.51,False,False,4.51
2026-09-14,603090,宏盛股份,1,72.5,0.212,B,36.55,2026-09-15,40.21,10.01,True,False,10.01
2026-09-14,600697,欧亚集团,1,71.5,0.2104,B,12.16,2026-09-15,11.04,-9.21,False,False,-9.21
2026-09-15,001216,华瓷股份,1,69.0,0.2064,B,16.43,2026-09-16,18.07,9.98,True,False,9.98
2026-09-15,002882,金龙羽,1,68.5,0.2056,B,23.45,2026-09-16,23.72,1.15,False,False,1.15
2026-09-15,601218,吉鑫科技,1,67.0,0.2032,B,5.18,2026-09-16,5.22,0.77,False,False,0.77
2026-09-15,002362,汉王科技,1,66.5,0.2024,B,17.5,2026-09-16,16.92,-3.31,False,False,-3.31
