date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-06-03,000510,1,42.0,6.03,-0.33,False,-0.33,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000566,1,42.0,6.73,5.79,False,5.79,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000599,1,42.0,5.21,-0.38,False,-0.38,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000669,1,42.0,2.37,5.06,True,5.06,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000695,1,42.0,15.9,-2.52,False,-2.52,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000533,1,42.0,7.12,9.97,True,9.97,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000546,1,42.0,4.9,-2.04,False,-2.04,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000565,1,42.0,10.58,-6.99,False,-6.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000668,1,42.0,7.98,3.88,False,3.88,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000691,1,42.0,4.83,1.04,False,1.04,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000504,1,42.0,7.39,5.01,True,5.01,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000506,1,42.0,8.11,9.99,True,9.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000525,1,42.0,7.79,4.36,False,4.36,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000530,1,42.0,6.04,1.99,False,1.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000665,1,42.0,5.5,4.36,False,4.36,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000669,1,67.0,2.65,3.02,False,3.02,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,603959,1,67.0,4.63,4.97,True,4.97,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,603017,1,67.0,12.41,-2.26,False,-2.26,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,603879,1,67.0,6.47,3.71,False,3.71,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000599,1,42.0,5.61,1.6,False,1.6,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,603093,1,82.0,20.56,-2.33,False,-2.33,首板，连板起点；近10日涨停3次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,002250,1,67.0,14.08,5.11,False,5.11,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,600381,1,67.0,4.57,1.31,False,1.31,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,002104,1,67.0,12.12,-8.09,False,-8.09,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,603557,1,67.0,3.51,2.85,False,2.85,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-10,002298,1,84.5,8.45,-8.28,False,-8.28,首板，连板起点；近10日涨停3次，近期活跃；5日涨幅42%，主升节奏；主板10cm涨停
2025-06-10,603879,1,84.0,7.38,-8.4,False,-8.4,首板，连板起点；近10日涨停3次，近期活跃；5日涨幅24%，趋势向上；主板10cm涨停
2025-06-10,603906,1,69.0,15.33,-3.85,False,-3.85,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅21%，趋势向上；主板10cm涨停
2025-06-10,300886,1,44.5,35.4,-2.63,False,-2.63,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅31%，主升节奏；20cm大板涨停，弹性大
2025-06-10,301141,1,44.5,55.02,19.99,True,19.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅45%，主升节奏；20cm大板涨停，弹性大
2025-06-11,000669,1,82.75,2.73,2.56,False,2.56,首板，连板起点；近10日涨停3次，近期活跃；5日涨幅10%，温和上行；主板10cm涨停
2025-06-11,600250,1,69.5,12.8,10.0,True,10.0,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2025-06-11,003040,1,69.5,19.2,-1.46,False,-1.46,首板，连板起点；近10日涨停2次，有一定活跃度；5日涨幅37%，主升节奏；主板10cm涨停
