date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-06-03,000510,1,,6.03,-0.33,False,-0.33,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000566,1,,6.73,5.79,False,5.79,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000599,1,,5.21,-0.38,False,-0.38,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000533,1,,7.12,9.97,True,9.97,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000546,1,,4.9,-2.04,False,-2.04,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000565,1,,10.58,-6.99,False,-6.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000504,1,,7.39,5.01,True,5.01,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000506,1,,8.11,9.99,True,9.99,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000525,1,,7.79,4.36,False,4.36,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000504,2,,7.76,5.03,True,5.03,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000506,2,,8.92,5.94,False,5.94,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000599,1,,5.61,1.6,False,1.6,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,000504,3,,8.15,5.03,True,5.03,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,000518,1,,2.42,4.96,True,4.96,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,000525,1,,8.54,-0.47,False,-0.47,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-10,603959,3,34.35,5.1,5.1,True,5.1,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅18%，趋势向上；主板10cm涨停
2025-06-10,002940,3,33.865,23.74,9.98,True,9.98,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-10,600468,3,33.498,9.63,-9.87,False,-9.87,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅25%，趋势向上；主板10cm涨停
2025-06-11,002181,3,32.694,8.07,10.04,True,10.04,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅35%，主升节奏；主板10cm涨停
2025-06-11,600980,3,32.67,22.75,10.02,True,10.02,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅34%，主升节奏；主板10cm涨停
2025-06-11,000518,3,32.438,2.67,-0.37,False,-0.37,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅22%，趋势向上；主板10cm涨停
2025-06-12,603139,3,32.774,27.45,-4.55,False,-4.55,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅39%，主升节奏；主板10cm涨停
2025-06-12,603787,3,32.684,15.46,-9.38,False,-9.38,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅34%，主升节奏；主板10cm涨停
2025-06-12,600250,2,23.844,14.08,-10.01,False,-10.01,2板高度，首板晋级后延续；近10日涨停3次，近期活跃；5日涨幅42%，主升节奏；主板10cm涨停
2025-06-13,002878,3,34.857,24.93,9.99,True,9.99,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-13,002615,3,33.655,10.25,4.0,False,4.0,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅33%，主升节奏；主板10cm涨停
2025-06-13,600281,3,32.836,7.26,5.79,False,5.79,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅42%，主升节奏；主板10cm涨停
2025-06-16,002951,2,26.264,15.36,0.39,False,0.39,2板高度，首板晋级后延续；近10日涨停6次，资金反复攻击的强势股；5日涨幅13%，温和上行；主板10cm涨停
2025-06-16,002731,2,23.568,17.28,-8.62,False,-8.62,2板高度，首板晋级后延续；近10日涨停3次，近期活跃；5日涨幅28%，趋势向上；主板10cm涨停
2025-06-16,300164,2,21.87,6.07,15.98,False,15.98,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅43%，主升节奏；20cm大板涨停，弹性大
