date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-06-10,605099,6,96.9,44.2,0.97,False,0.97,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅58%，主升节奏；主板10cm涨停
2025-06-11,002826,6,94.9,21.57,10.01,True,10.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-12,002826,7,97.9,23.73,-5.39,False,-5.39,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-20,002490,6,96.7,7.02,9.97,True,9.97,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-23,002490,7,94.7,7.72,-9.97,False,-9.97,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-24,600110,6,97.5,6.24,9.94,True,9.94,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅62%，主升节奏；主板10cm涨停
2025-06-25,600110,7,94.4,6.86,4.96,False,4.96,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-30,000026,6,95.9,15.82,4.36,False,4.36,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-07-03,603316,6,96.8,11.97,-2.92,False,-2.92,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-10,605500,6,97.8,13.28,-9.64,False,-9.64,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-16,688585,6,96.8,23.24,20.01,True,20.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅149%，主升节奏；20cm大板涨停，弹性大
2025-07-17,688585,7,96.9,27.89,20.01,True,20.01,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅149%，主升节奏；20cm大板涨停，弹性大
2025-07-18,688585,8,96.9,33.47,19.99,True,19.99,8板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅149%，主升节奏；20cm大板涨停，弹性大
2025-07-21,688585,9,99.9,40.16,20.0,True,20.0,9板高位龙头，身位优势极大；近10日涨停8次，资金反复攻击的强势股；5日涨幅149%，主升节奏；20cm大板涨停，弹性大
