date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-06-03,000989,2,65.0,9.35,10.05,True,10.05,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,000989,1,62.0,9.35,10.05,True,10.05,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-03,002250,1,62.0,10.12,7.51,False,7.51,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000989,4,78.5,10.29,-4.76,False,-4.76,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000989,3,72.5,10.29,-4.76,False,-4.76,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,603076,2,65.0,36.3,3.44,False,3.44,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,002951,3,73.0,11.22,9.98,True,9.98,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,605099,3,72.9,33.85,7.92,True,7.92,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,300651,3,72.8,29.38,8.92,False,8.92,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；20cm大板涨停，弹性大
2025-06-06,605099,4,75.0,36.53,9.99,True,9.99,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,002951,4,74.8,12.34,9.97,True,9.97,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,603042,3,71.8,18.67,4.45,False,4.45,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,605099,5,81.9,40.18,10.0,True,10.0,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,002951,5,81.7,13.57,9.65,False,9.65,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,000889,4,80.0,3.96,3.54,False,3.54,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-10,605099,6,96.9,44.2,0.97,False,0.97,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅58%，主升节奏；主板10cm涨停
2025-06-10,002826,5,88.8,19.61,9.99,True,9.99,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-10,002940,3,82.4,23.74,9.98,True,9.98,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-11,002826,6,94.9,21.57,10.01,True,10.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-11,002940,4,86.8,26.11,3.79,False,3.79,4板高度，连板梯队前排；近10日涨停4次，近期活跃；5日涨幅55%，主升节奏；主板10cm涨停
2025-06-11,600232,4,86.5,8.47,-1.65,False,-1.65,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅47%，主升节奏；主板10cm涨停
2025-06-12,002826,7,97.9,23.73,-5.39,False,-5.39,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-12,600980,4,86.3,25.03,9.99,True,9.99,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅47%，主升节奏；主板10cm涨停
2025-06-12,002181,4,86.1,8.88,-10.02,False,-10.02,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅42%，主升节奏；主板10cm涨停
2025-06-13,600980,5,88.9,27.53,5.34,False,5.34,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-13,002878,3,84.3,24.93,9.99,True,9.99,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-13,600281,3,79.5,7.26,5.79,False,5.79,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅42%，主升节奏；主板10cm涨停
2025-06-16,002878,4,87.4,27.42,-8.32,False,-8.32,4板高度，连板梯队前排；近10日涨停5次，资金反复攻击的强势股；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-16,002940,1,81.3,28.99,0.07,False,0.07,首板，连板起点；近10日涨停5次，资金反复攻击的强势股；5日涨幅34%，主升节奏；主板10cm涨停
2025-06-16,002951,2,81.2,15.36,0.39,False,0.39,2板高度，首板晋级后延续；近10日涨停6次，资金反复攻击的强势股；5日涨幅13%，温和上行；主板10cm涨停
2025-06-17,002104,2,81.3,14.71,5.91,False,5.91,2板高度，首板晋级后延续；近10日涨停4次，近期活跃；5日涨幅32%，主升节奏；主板10cm涨停
2025-06-17,002828,3,79.5,12.21,9.99,True,9.99,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2025-06-17,002490,3,79.3,5.27,10.06,True,10.06,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅32%，主升节奏；主板10cm涨停
2025-06-18,002015,4,86.8,12.96,-8.41,False,-8.41,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅50%，主升节奏；主板10cm涨停
2025-06-18,600722,4,85.1,7.67,6.26,False,6.26,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅48%，主升节奏；主板10cm涨停
2025-06-18,002490,4,84.9,5.8,10.0,True,10.0,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅45%，主升节奏；主板10cm涨停
2025-06-19,002490,5,90.0,6.38,10.03,True,10.03,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅62%，主升节奏；主板10cm涨停
2025-06-19,002207,5,86.6,10.05,-4.28,False,-4.28,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-19,301357,2,75.9,66.04,-9.15,False,-9.15,2板高度，首板晋级后延续；近10日涨停2次，有一定活跃度；5日涨幅83%，主升节奏；20cm大板涨停，弹性大
2025-06-20,002490,6,96.7,7.02,9.97,True,9.97,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-20,600110,4,85.1,5.15,10.1,True,10.1,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅48%，主升节奏；主板10cm涨停
2025-06-20,601606,3,79.4,18.36,10.02,True,10.02,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅37%，主升节奏；主板10cm涨停
2025-06-23,002490,7,94.7,7.72,-9.97,False,-9.97,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-23,600110,5,92.0,5.67,10.05,True,10.05,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅62%，主升节奏；主板10cm涨停
2025-06-23,601606,4,86.3,20.2,0.45,False,0.45,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅50%，主升节奏；主板10cm涨停
2025-06-24,600110,6,97.5,6.24,9.94,True,9.94,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅62%，主升节奏；主板10cm涨停
2025-06-24,600113,3,86.8,25.04,1.04,False,1.04,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅58%，主升节奏；主板10cm涨停
2025-06-24,603928,4,85.4,16.62,9.99,True,9.99,4板高度，连板梯队前排；近10日涨停4次，近期活跃；5日涨幅45%，主升节奏；主板10cm涨停
2025-06-25,600110,7,94.4,6.86,4.96,False,4.96,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-25,002125,5,92.8,16.36,-2.81,False,-2.81,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-25,603928,5,91.9,18.28,-6.67,False,-6.67,5板高度，题材龙头候选；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-26,003029,4,90.4,34.83,-7.67,False,-7.67,4板高度，连板梯队前排；近10日涨停5次，资金反复攻击的强势股；5日涨幅36%，主升节奏；主板10cm涨停
2025-06-26,603022,5,89.8,13.66,-10.03,False,-10.03,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-26,600113,1,81.5,27.83,2.91,False,2.91,首板，连板起点；近10日涨停5次，资金反复攻击的强势股；5日涨幅48%，主升节奏；主板10cm涨停
2025-06-27,001236,4,85.9,14.53,9.98,True,9.98,4板高度，连板梯队前排；近10日涨停4次，近期活跃；5日涨幅52%，主升节奏；主板10cm涨停
2025-06-27,000026,4,83.8,14.38,10.01,True,10.01,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅21%，趋势向上；主板10cm涨停
2025-06-27,002263,4,83.7,3.75,10.13,True,10.13,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅50%，主升节奏；主板10cm涨停
2025-06-30,000026,6,95.9,15.82,4.36,False,4.36,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-06-30,001236,5,92.8,15.98,-10.01,False,-10.01,5板高度，题材龙头候选；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-06-30,002263,5,92.7,4.13,1.94,False,1.94,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-01,603316,4,86.4,9.89,10.01,True,10.01,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅45%，主升节奏；主板10cm涨停
2025-07-01,601606,2,85.8,31.96,-7.38,False,-7.38,2板高度，首板晋级后延续；近10日涨停7次，资金反复攻击的强势股；5日涨幅58%，主升节奏；主板10cm涨停
2025-07-01,601718,3,80.0,4.31,-4.18,False,-4.18,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅42%，主升节奏；主板10cm涨停
2025-07-02,603316,5,91.9,10.88,10.02,True,10.02,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-02,600319,3,79.2,7.9,-8.23,False,-8.23,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2025-07-02,603601,3,78.8,4.92,-6.5,False,-6.5,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2025-07-03,603316,6,96.8,11.97,-2.92,False,-2.92,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-03,002658,4,85.2,10.42,-9.98,False,-9.98,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅47%，主升节奏；主板10cm涨停
2025-07-03,601218,4,84.9,5.47,-10.05,False,-10.05,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅50%，主升节奏；主板10cm涨停
2025-07-04,603716,4,86.8,21.08,6.88,False,6.88,4板高度，连板梯队前排；近10日涨停4次，近期活跃；5日涨幅52%，主升节奏；主板10cm涨停
2025-07-04,601003,4,83.3,5.16,-7.95,False,-7.95,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅47%，主升节奏；主板10cm涨停
2025-07-04,002623,3,77.4,20.77,7.75,False,7.75,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅35%，主升节奏；主板10cm涨停
2025-07-07,000037,4,85.0,10.56,-0.28,False,-0.28,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅21%，趋势向上；主板10cm涨停
2025-07-07,600744,3,83.3,6.7,10.0,True,10.0,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅49%，主升节奏；主板10cm涨停
2025-07-07,600475,3,80.3,13.83,9.98,True,9.98,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2025-07-08,600744,4,88.5,7.37,10.04,True,10.04,4板高度，连板梯队前排；近10日涨停4次，近期活跃；5日涨幅49%，主升节奏；主板10cm涨停
2025-07-08,002636,4,86.3,13.72,9.99,True,9.99,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅40%，主升节奏；主板10cm涨停
2025-07-08,605500,4,86.2,10.97,10.03,True,10.03,4板高度，连板梯队前排；近10日涨停3次，近期活跃；5日涨幅47%，主升节奏；主板10cm涨停
2025-07-09,600744,5,93.6,8.11,-1.73,False,-1.73,5板高度，题材龙头候选；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-09,605500,5,91.7,12.07,10.02,True,10.02,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
2025-07-09,002636,5,88.9,15.09,0.4,False,0.4,5板高度，题材龙头候选；近10日涨停4次，近期活跃；5日涨幅61%，主升节奏；主板10cm涨停
