rank,code,name,industry,boards,prob,score,event,reason,hit,今日连板数,晋级
1,000504,南华生物,医疗服务,3,0.5589999999999999,8.4,业绩预增,业绩预增3板，连板中位；换手率1.6%极低，惜售锁筹（回测晋级率43%）；消息面：业绩预增；（异动拉升！000504，3连板！；南华生物000504龙虎榜数据09-21)；南）；所属医疗服务题材；同身位高分位，连板预期强,True,4,晋级
2,002453,华软科技,化学制品,3,0.5589999999999999,8.15,业绩预增,业绩预增3板，连板中位；消息面：业绩预增；（华软科技002453龙虎榜数据09-18)；华软科技002453.SZ)：202）；所属化学制品题材；同身位高分位，连板预期强,False,0,未涨停
3,600630,龙头股份,服装家纺,3,0.5589999999999999,7.85,业绩预增,业绩预增3板，连板中位；消息面：业绩预增；（龙头股份600630龙虎榜数据09-18)；龙头股份600630龙虎榜数据09-）；所属服装家纺题材；同身位高分位，连板预期强,False,0,未涨停
4,600448,华纺股份,纺织制造,3,0.5,7.45,业绩预增,业绩预增3板，连板中位；换手率39.3%过高，分歧大晋级率低；消息面：业绩预增；（华纺股份600448龙虎榜数据09-21)；华纺股份600448龙虎榜数据09-）；所属纺织制造题材；同身位高分位，连板预期强,False,0,未涨停
5,601579,会稽山,非白酒,2,0.39899999999999997,8.5,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（会稽山601579龙虎榜数据09-21；会稽山601579龙虎榜数据09-16；）；所属非白酒题材；同身位中高分位,False,0,未涨停
6,600606,绿地控股,房地产开,2,0.38799999999999996,7.6,业绩预增,业绩预增2板，首板晋级后延续；换手率4.0%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（绿地控股600606龙虎榜数据09-21)；绿地控股600606.SH)：202）；所属房地产开题材；同身位中高分位,False,0,未涨停
7,603316,诚邦股份,半导体,2,0.38799999999999996,7.5,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（机构风向标 | 诚邦股份6033162026年二季度机构持仓风向标；诚邦股份60）；所属半导体题材；同身位中高分位,False,0,未涨停
8,601811,新华文轩,出版,2,0.38799999999999996,7.3,重组/收购,重组/收购2板，首板晋级后延续；消息面：重组/收购；（新华文轩601811龙虎榜数据09-21；新华文轩601811.SH)：2026）；所属出版题材；同身位中高分位,True,3,晋级
9,000532,华金资本,多元金融,2,0.38799999999999996,7.1,业绩预增,业绩预增2板，首板晋级后延续；换手率16.4%过高，分歧大晋级率低；消息面：业绩预增；（000532尾盘直线涨停！投资者：发生了什么？；华金资本000532.SZ)：2）；所属多元金融题材；同身位中高分位,False,0,未涨停
10,001376,百通能源,电力,2,0.38799999999999996,7.0,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（机构风向标 | 百通能源0013762026年二季度已披露持仓机构仅9家；百通能）；所属电力题材；同身位中高分位,False,0,未涨停
11,603068,博通集成,半导体,2,0.38799999999999996,7.0,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（博通集成603068.SH)：2026年中报净利润为5050.16万元；机构风向）；所属半导体题材；同身位中高分位,True,3,晋级
12,001317,三羊马,铁路公路,2,0.38799999999999996,7.0,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（三羊马001317龙虎榜数据09-21；三羊马001317.SZ)：2026年中）；所属铁路公路题材；同身位中高分位,True,3,晋级
13,002589,瑞康医药,医药商业,2,0.38799999999999996,6.85,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（机构风向标 | 瑞康医药0025892026年二季度已披露持仓机构仅3家；瑞康医）；所属医药商业题材；同身位中高分位,False,0,未涨停
14,600127,金健米业,农产品加,3,0.382,6.55,,3板，连板中位；换手率28.4%过高，分歧大晋级率低；所属农产品加题材；同身位中高分位,False,0,未涨停
15,601123,马矿股份,冶钢原料,2,0.379,6.75,AI/科技,AI/科技2板，首板晋级后延续；换手率15.9%过高，分歧大晋级率低；消息面：AI/科技；（马矿股份601123龙虎榜数据09-16；马矿股份601123龙虎榜数据09-1）；所属冶钢原料题材；同身位中高分位,False,0,未涨停
16,000910,大亚圣象,家居用品,2,0.379,6.65,业绩预增,业绩预增2板，首板晋级后延续；消息面：业绩预增；（大亚圣象000910.SZ)2026年中报净利润为-1.94亿元，由盈转亏；今日）；所属家居用品题材；同身位中高分位,True,3,晋级
17,603001,奥康国际,服装家纺,2,0.379,6.55,,2板，首板晋级后延续；所属服装家纺题材；同身位中高分位,False,0,未涨停
18,601086,国芳集团,一般零售,2,0.304,6.4,,2板，首板晋级后延续；所属一般零售题材；同身位中高分位,False,0,未涨停
19,600825,新华传媒,出版,1,0.252,8.62,重组/收购,重组/收购首板，连板起点；换手率0.2%极低，惜售锁筹（回测晋级率43%）；消息面：重组/收购；（惊天重组！600825开盘涨停，封单额超100亿元；600825，收购公布，下周）；封单强度41%，封单充裕；所属出版题材；同身位低分位，晋级概率有限,True,2,晋级
20,688315,诺禾致源,医疗服务,1,0.218,7.35,业绩预增,业绩预增首板，连板起点；换手率4.3%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（利好！688315，20cm涨停；诺禾致源688315龙虎榜数据(09-21；机）；所属医疗服务题材；同身位低分位，晋级概率有限,False,0,未涨停
21,002963,豪尔赛,装修装饰,1,0.218,7.25,重组/收购,重组/收购首板，连板起点；消息面：重组/收购；（002963，两连板后宣布收购，股价冲高后跳水；豪尔赛002963.SZ)：20）；所属装修装饰题材；同身位低分位，晋级概率有限,False,0,未涨停
22,600743,华远控股,房地产服,1,0.218,7.15,业绩预增,业绩预增首板，连板起点；换手率0.7%极低，惜售锁筹（回测晋级率43%）；消息面：业绩预增；（600743，变更控股股东，今年曾六连板；600743：29.9%股权拟划转金融）；所属房地产服题材；同身位低分位，晋级概率有限,True,2,晋级
23,000756,新华制药,化学制药,1,0.218,7.15,业绩预增,业绩预增首板，连板起点；换手率4.3%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（000756：周末披露连续斩获三张药品注册证书，涉及阿尔茨海默病等；新华制药00）；所属化学制药题材；同身位低分位，晋级概率有限,True,2,晋级
24,688112,鼎阳科技,通用设备,1,0.218,7.15,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（鼎阳科技688112龙虎榜数据(09-21；鼎阳科技：发布SDS6000B系列高）；所属通用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
25,002869,金溢科技,计算机设,1,0.218,7.15,业绩预增,业绩预增首板，连板起点；换手率4.8%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（金溢科技002869.SZ)2026年中报净利润为-3901.36万元，同比亏损）；所属计算机设题材；同身位低分位，晋级概率有限,False,0,未涨停
26,002042,华孚时尚,纺织制造,1,0.218,7.15,业绩预增,业绩预增首板，连板起点；换手率4.9%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（机构风向标 | 华孚时尚0020422026年二季度已披露持仓机构仅7家；华孚时）；所属纺织制造题材；同身位低分位，晋级概率有限,False,0,未涨停
27,603258,电魂网络,游戏Ⅱ,1,0.218,7.12,业绩预增,业绩预增首板，连板起点；换手率2.0%极低，惜售锁筹（回测晋级率43%）；消息面：业绩预增；（603258，实控人离婚“分股”；603258，实控人夫妇离婚；机构风向标 | ）；所属游戏Ⅱ题材；同身位低分位，晋级概率有限,False,0,未涨停
28,002614,奥佳华,其他家电,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；换手率2.5%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（奥佳华002614.SZ)2026年中报净利润为-7392.40万元，由盈转亏；）；所属其他家电题材；同身位低分位，晋级概率有限,True,2,晋级
29,002367,康力电梯,专用设备,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；换手率3.6%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（康力电梯002367.SZ)2026年中报净利润为9594.98万元、较去年同期）；所属专用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
30,002585,双星新材,塑料,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（双星新材002585龙虎榜数据09-21)；“一小时一个价，最高涨十倍”！MLC）；所属塑料题材；同身位低分位，晋级概率有限,False,0,未涨停
31,001234,泰慕士,服装家纺,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；换手率3.7%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（泰慕士001234.SZ)：2026年中报净利润为2328.40万元、同比较去年）；所属服装家纺题材；同身位低分位，晋级概率有限,True,2,晋级
32,603819,神力股份,电机Ⅱ,1,0.218,7.05,重组/收购,重组/收购首板，连板起点；换手率3.8%，筹码稳定（回测晋级率28%）；消息面：重组/收购；（神力股份603819.SH)：2026年中报净利润为2008.87万元；83只股）；所属电机Ⅱ题材；同身位低分位，晋级概率有限,False,0,未涨停
33,605566,福莱蒽特,化学制品,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；换手率4.9%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（福莱蒽特605566.SH)：2026年中报净利润为4010.92万元；106只）；所属化学制品题材；同身位低分位，晋级概率有限,False,0,未涨停
34,603093,南华期货,多元金融,1,0.218,7.05,业绩预增,业绩预增首板，连板起点；换手率3.1%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（南华期货603093.SH)：2026年中报净利润为3.88亿元；南华期货603）；所属多元金融题材；同身位低分位，晋级概率有限,False,0,未涨停
35,002303,美盈森,包装印刷,1,0.218,7.0,业绩预增,业绩预增首板，连板起点；换手率3.2%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（美盈森002303.SZ)2026年中报净利润为1.30亿元、较去年同期下降26）；所属包装印刷题材；同身位低分位，晋级概率有限,True,2,晋级
36,603042,华脉科技,通信设备,1,0.218,6.95,业绩预增,业绩预增首板，连板起点；换手率18.2%过高，分歧大晋级率低；消息面：业绩预增；（华脉科技603042龙虎榜数据09-17)；华脉科技603042龙虎榜数据09-）；所属通信设备题材；同身位低分位，晋级概率有限,False,0,未涨停
37,600894,广日股份,专用设备,1,0.218,6.93,业绩预增,业绩预增首板，连板起点；换手率2.2%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（广日股份600894.SH)：2026年中报净利润为1.31亿元、同比较去年同期）；所属专用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
38,002022,科华生物,医疗器械,1,0.218,6.93,业绩预增,业绩预增首板，连板起点；换手率4.6%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（机构风向标 | 科华生物0020222026年二季度已披露持仓机构仅6家；科华生）；所属医疗器械题材；同身位低分位，晋级概率有限,False,0,未涨停
39,002080,中材科技,玻璃玻纤,1,0.218,6.9,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（中材科技002080龙虎榜数据09-21)；中材科技：年产3500万米特种玻纤布）；所属玻璃玻纤题材；同身位低分位，晋级概率有限,False,0,未涨停
40,000607,华媒控股,广告营销,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；换手率2.6%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（华媒控股000607.SZ)：2026年中报净利润为-1603.34万元，同比亏）；所属广告营销题材；同身位低分位，晋级概率有限,True,2,晋级
41,603663,三祥新材,化学原料,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；换手率4.0%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（三祥新材603663.SH)：2026年中报净利润为7700.99万元；基础化工）；所属化学原料题材；同身位低分位，晋级概率有限,False,0,未涨停
42,603319,美湖股份,汽车零部,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（美湖股份603319.SH)2026年中报净利润为5483.37万元、较去年同期）；所属汽车零部题材；同身位低分位，晋级概率有限,False,0,未涨停
43,002907,华森制药,中药Ⅱ,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（华森制药002907.SZ)：注射用二乙酰氨乙酸乙二胺（0.2g、0.4g）获药）；所属中药Ⅱ题材；同身位低分位，晋级概率有限,False,0,未涨停
44,600325,华发股份,房地产开,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（华发股份600325龙虎榜数据09-21)；华发股份600325.SH)：202）；所属房地产开题材；同身位低分位，晋级概率有限,False,0,未涨停
45,000402,金 融 街,房地产开,1,0.218,6.85,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（金融街000402.SZ)：2026年中报净利润为-8654.00万元，同比亏损）；所属房地产开题材；同身位低分位，晋级概率有限,False,0,未涨停
46,600281,华阳新材,小金属,1,0.218,6.82,业绩预增,业绩预增首板，连板起点；换手率2.9%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（华阳新材600281.SH)：2026年中报净利润为237.26万元、同比较去年）；所属小金属题材；同身位低分位，晋级概率有限,False,0,未涨停
47,002172,澳洋健康,医疗服务,1,0.218,6.75,业绩预增,业绩预增首板，连板起点；换手率15.1%过高，分歧大晋级率低；消息面：业绩预增；（澳洋健康002172龙虎榜数据09-14)；澳洋健康002172龙虎榜数据09-）；所属医疗服务题材；同身位低分位，晋级概率有限,False,0,未涨停
48,002860,星帅尔,家电零部,1,0.218,6.75,重组/收购,重组/收购首板，连板起点；消息面：重组/收购；（停牌前涨停！002860，拟实施重要收购；机构风向标 | 星帅尔00286020）；所属家电零部题材；同身位低分位，晋级概率有限,False,0,未涨停
49,001373,翔腾新材,光学光电,1,0.218,6.75,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（翔腾新材001373.SZ)2026年中报净利润为-2256.63万元，同比亏损）；所属光学光电题材；同身位低分位，晋级概率有限,False,0,未涨停
50,002724,海洋王,照明设备,1,0.218,6.75,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（海洋王002724.SZ)2026年中报净利润为2840.80万元、较去年同期下）；所属照明设备题材；同身位低分位，晋级概率有限,False,0,未涨停
51,002321,华英农业,养殖业,1,0.218,6.75,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（华英农业002321.SZ)：信阳市财政局批复同意信阳产投承继16.9%股份，控）；所属养殖业题材；同身位低分位，晋级概率有限,False,0,未涨停
52,002246,北化股份,化学制品,1,0.218,6.75,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（基础化工行业今日净流入资金14.32亿元，双星新材等8股净流入资金超亿元；83只）；所属化学制品题材；同身位低分位，晋级概率有限,False,0,未涨停
53,603958,哈森股份,服装家纺,1,0.218,6.75,重组/收购,重组/收购首板，连板起点；消息面：重组/收购；（哈森股份603958龙虎榜数据09-10；哈森股份603958.SH)：2026）；所属服装家纺题材；同身位低分位，晋级概率有限,False,0,未涨停
54,603175,超颖电子,元件,1,0.218,6.75,AI/科技,AI/科技首板，连板起点；消息面：AI/科技；（机构风向标 | 超颖电子6031752026年二季度已披露前十大机构累计持仓占比）；所属元件题材；同身位低分位，晋级概率有限,False,0,未涨停
55,600301,华锡有色,小金属,1,0.218,6.73,重组/收购,重组/收购首板，连板起点；换手率2.1%，筹码稳定（回测晋级率28%）；消息面：重组/收购；（600301，将迎大央企入主；明日复牌！600301，控制权拟变更；600301）；所属小金属题材；同身位低分位，晋级概率有限,False,0,未涨停
56,600587,新华医疗,医疗器械,1,0.218,6.73,业绩预增,业绩预增首板，连板起点；换手率4.1%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（新华医疗600587.SH)：呼吸门控系统及胸腔镜手术器械获医疗器械注册证；新华）；所属医疗器械题材；同身位低分位，晋级概率有限,False,0,未涨停
57,002755,奥赛康,化学制药,1,0.218,6.73,业绩预增,业绩预增首板，连板起点；换手率3.8%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（奥赛康002755.SZ)2026年中报净利润为1.21亿元、较去年同期下降24）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
58,688137,近岸蛋白,生物制品,1,0.218,6.7,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（近岸蛋白688137龙虎榜数据(09-21；近岸蛋白688137龙虎榜数据(09）；所属生物制品题材；同身位低分位，晋级概率有限,False,0,未涨停
59,002178,延华智能,软件开发,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（延华智能002178.SZ)：2026年中报净利润为-1137.19万元，同比由）；所属软件开发题材；同身位低分位，晋级概率有限,True,2,晋级
60,603289,泰瑞机器,专用设备,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（泰瑞机器603289龙虎榜数据09-21)；泰瑞机器603289.SH)2026）；所属专用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
61,600992,贵绳股份,通用设备,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（贵绳股份600992.SH)：2026年中报净利润为-1.06亿元，同比亏损扩大）；所属通用设备题材；同身位低分位，晋级概率有限,False,0,未涨停
62,000829,天音控股,专业连锁,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（天音控股000829.SZ)：2026年中报净利润为1584.46万元，同比扭亏）；所属专业连锁题材；同身位低分位，晋级概率有限,False,0,未涨停
63,603151,邦基科技,饲料,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；换手率2.5%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（邦基科技603151.SH)2026年中报净利润为-47.97万元，由盈转亏；1）；所属饲料题材；同身位低分位，晋级概率有限,False,0,未涨停
64,000566,海南海药,化学制药,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（海南海药000566.SZ)：2026年中报净利润为-2.12亿元，同比亏损放大）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
65,002259,升达林业,燃气Ⅱ,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（机构风向标 | 升达林业0022592026年二季度已披露持仓机构仅4家；升达林）；所属燃气Ⅱ题材；同身位低分位，晋级概率有限,True,2,晋级
66,600857,宁波中百,一般零售,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；换手率3.7%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（机构风向标 | 宁波中百6008572026年二季度已披露持仓机构仅2家；宁波中）；所属一般零售题材；同身位低分位，晋级概率有限,False,0,未涨停
67,605196,华通线缆,电网设备,1,0.218,6.63,业绩预增,业绩预增首板，连板起点；换手率3.5%，筹码稳定（回测晋级率28%）；消息面：业绩预增；（华通线缆605196.SH)：2026年中报净利润为1.63亿元；电力设备行业今）；所属电网设备题材；同身位低分位，晋级概率有限,False,0,未涨停
68,600593,大连圣亚,旅游及景,1,0.218,6.6,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（大连圣亚600593龙虎榜数据09-21)；大连圣亚600593.SH)：202）；所属旅游及景题材；同身位低分位，晋级概率有限,False,0,未涨停
69,002388,新亚制程,其他电子,1,0.218,6.6,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（新亚制程002388.SZ)2026年中报净利润为-1171.08万元，由盈转亏）；所属其他电子题材；同身位低分位，晋级概率有限,False,0,未涨停
70,600664,哈药股份,化学制药,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（涨停潮来袭！600664，百万手封板；哈药股份600664.SH)：2026年中）；所属化学制药题材；同身位低分位，晋级概率有限,True,2,晋级
71,603580,艾艾精工,塑料,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（机构风向标 | 艾艾精工6035802026年二季度已披露持仓机构仅1家；艾艾精）；所属塑料题材；同身位低分位，晋级概率有限,True,2,晋级
72,002084,海鸥住工,家居用品,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（海鸥住工002084龙虎榜数据09-10；海鸥住工002084龙虎榜数据09-0）；所属家居用品题材；同身位低分位，晋级概率有限,False,0,未涨停
73,688026,洁特生物,医疗器械,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（洁特生物688026龙虎榜数据09-21)；机构风向标 | 洁特生物688026）；所属医疗器械题材；同身位低分位，晋级概率有限,False,0,未涨停
74,002900,哈三联,化学制药,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（哈三联002900.SZ)：全资子公司三联医药零售注册资本增至100万元并完成工）；所属化学制药题材；同身位低分位，晋级概率有限,False,0,未涨停
75,603020,爱普股份,化学制品,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（爱普股份603020龙虎榜数据09-14)；爱普股份603020.SH)2026）；所属化学制品题材；同身位低分位，晋级概率有限,True,2,晋级
76,000020,深华发Ａ,光学光电,1,0.218,6.55,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（“牛散”钟革大手笔！竞得000020超300万股，近期豪掷超2.67亿元布局两家）；所属光学光电题材；同身位低分位，晋级概率有限,False,0,未涨停
77,001389,广合科技,元件,1,0.218,6.52,中标/订单,中标/订单首板，连板起点；消息面：中标/订单；（广合科技001389龙虎榜数据09-21；9月21日龙虎榜净买入额前10个股；深）；所属元件题材；同身位低分位，晋级概率有限,False,0,未涨停
78,002349,精华制药,中药Ⅱ,1,0.218,6.52,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（精华制药002349龙虎榜数据09-09；精华制药002349.SZ)：2026）；所属中药Ⅱ题材；同身位低分位，晋级概率有限,False,0,未涨停
79,600714,金瑞矿业,化学原料,1,0.218,6.52,业绩预增,业绩预增首板，连板起点；消息面：业绩预增；（金瑞矿业600714.SH)：2026年中报净利润为1677.13万元、同比较去）；所属化学原料题材；同身位低分位，晋级概率有限,False,0,未涨停
