代码,名称,所属行业,连板数,换手率,放量倍数,综合分,次日连板概率,评级,预测理由,成交额,首次封板时间,封板资金,炸板次数,最新价
002614,奥佳华,其他家电,2,2.7273929119110107,1.6816688042788868,1.54,60.67,A+ 强预期,2板，首板晋级后延续；换手率2.7%，筹码稳定；成交额0.8亿，资金关注度高（回测：大成交额晋级率高）；放量1.7倍，温和放量；所属其他家电题材；同身位高分位，连板预期强,82802947,092500,110766541,0,6.88
600743,华远控股,房地产服,2,0.3851023316383362,0.4420328656231665,0.77,60.67,A+ 强预期,2板，首板晋级后延续；换手率0.4%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额0.2亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属房地产服题材；同身位高分位，连板预期强,23129316,092500,108447260,0,2.56
601811,新华文轩,出版,3,0.5120318531990051,0.2516461971197186,2.5,58.489999999999995,A,3板，连板中位；换手率0.5%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额0.7亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属出版题材；同身位中高分位,68201736,092502,143779042,0,16.82
000910,大亚圣象,家居用品,3,10.526445388793945,4.417874566569426,5.0,47.17,B,3板，连板中位；成交额3.7亿，资金关注度高（回测：大成交额晋级率高）；放量4.4倍，未天量分歧；所属家居用品题材；同身位中高分位,373106272,131215,18386164,0,6.89
603636,南威软件,IT服务Ⅱ,2,2.9408817291259766,1.1369417127932167,3.85,39.07,B,2板，首板晋级后延续；换手率2.9%，筹码稳定；成交额1.4亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属IT服务Ⅱ题材；同身位中高分位,136712405,092502,96513162,0,8.01
001234,泰慕士,服装家纺,2,4.736817836761475,2.505176997951733,3.08,39.07,B,2板，首板晋级后延续；换手率4.7%，筹码稳定；成交额1.3亿，资金关注度高（回测：大成交额晋级率高）；放量2.5倍，温和放量；所属服装家纺题材；同身位中高分位,126493342,093000,250279760,0,29.25
000607,华媒控股,广告营销,2,2.2655298709869385,0.6466364182356079,2.31,39.07,B,2板，首板晋级后延续；换手率2.3%，筹码稳定；成交额1.0亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属广告营销题材；同身位中高分位,99855708,092500,149326061,0,4.98
001317,三羊马,铁路公路,3,8.937749862670898,1.7002861460256025,7.5,35.85,B,3板，连板中位；成交额4.9亿，资金关注度高（回测：大成交额晋级率高）；放量1.7倍，温和放量；所属铁路公路题材；同身位中高分位,494426464,093218,50305251,2,65.96
603068,博通集成,半导体,3,19.160415649414062,3.306313339637488,10.0,35.19,B,3板，连板中位；换手率19.2%过高，分歧大晋级率低；成交额13.7亿，资金关注度高（回测：大成交额晋级率高）；放量3.3倍，未天量分歧；所属半导体题材；同身位中高分位,1374616704,095619,26671729,1,48.17
603020,爱普股份,化学制品,2,6.8653106689453125,1.6577455672857087,5.38,31.330000000000002,C,2板，首板晋级后延续；成交额3.5亿，资金关注度高（回测：大成交额晋级率高）；放量1.7倍，温和放量；所属化学制品题材；同身位低分位，晋级概率有限,353265040,093246,9234291,5,13.83
002259,升达林业,燃气Ⅱ,2,8.311310768127441,3.827412150970802,4.62,31.330000000000002,C,2板，首板晋级后延续；成交额3.1亿，资金关注度高（回测：大成交额晋级率高）；放量3.8倍，未天量分歧；所属燃气Ⅱ题材；同身位低分位，晋级概率有限,305286208,102409,40606391,1,4.97
603580,艾艾精工,塑料,2,6.286369323730469,1.216248415136866,7.69,31.130000000000003,C,2板，首板晋级后延续；成交额6.4亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属塑料题材；同身位低分位，晋级概率有限,636186000,094608,27357036,3,78.68
600503,华丽家族,房地产开,2,12.2372465133667,5.5847671393555816,6.92,31.130000000000003,C,2板，首板晋级后延续；成交额4.8亿，资金关注度高（回测：大成交额晋级率高）；放量5.6倍，未天量分歧；所属房地产开题材；同身位低分位，晋级概率有限,482275936,144431,36424262,0,2.67
002303,美盈森,包装印刷,2,6.11741828918457,0.9930440027231762,6.15,31.130000000000003,C,2板，首板晋级后延续；成交额4.5亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属包装印刷题材；同身位低分位，晋级概率有限,450105648,093000,72089130,1,6.9
002313,日海智能,通信设备,1,4.84588623046875,3.9691174389575927,1.76,22.3,C,1板；换手率4.8%，筹码稳定；成交额1.7亿，资金关注度高（回测：大成交额晋级率高）；放量4.0倍，未天量分歧；所属通信设备题材；同身位低分位，晋级概率有限,165603337,095442,74761816,1,9.3
002564,天沃科技,专用设备,1,2.9995176792144775,1.195702656298074,1.47,22.3,C,1板；换手率3.0%，筹码稳定；成交额1.4亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属专用设备题材；同身位低分位，晋级概率有限,136531456,093454,47351235,0,5.45
600770,综艺股份,综合Ⅱ,1,1.571938157081604,0.39612946110141284,1.18,22.3,C,1板；换手率1.6%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额1.4亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属综合Ⅱ题材；同身位低分位，晋级概率有限,135485349,092501,133164213,0,6.63
001260,坤泰股份,汽车零部,1,10.460918426513672,4.817623411349777,0.88,22.3,C,1板；成交额1.2亿，资金关注度高（回测：大成交额晋级率高）；放量4.8倍，未天量分歧；所属汽车零部题材；同身位低分位，晋级概率有限,119919520,110254,4733352,1,20.28
002238,天威视讯,电视广播,1,1.3600929975509644,1.940483437420616,0.59,22.3,C,1板；换手率1.4%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额0.7亿，资金关注度高（回测：大成交额晋级率高）；放量1.9倍，温和放量；所属电视广播题材；同身位低分位，晋级概率有限,73660723,100936,30559272,0,6.96
002672,东江环保,环境治理,1,1.858905553817749,2.426541739336604,0.29,22.3,C,1板；换手率1.9%极低，惜售锁筹（回测：同身位低换手晋级率58~79%）；成交额0.6亿，资金关注度高（回测：大成交额晋级率高）；放量2.4倍，温和放量；所属环境治理题材；同身位低分位，晋级概率有限,64664566,131115,23168119,0,4.03
600664,哈药股份,化学制药,2,12.237613677978516,0.9847604084471002,10.0,19.21,D,2板，首板晋级后延续；成交额27.8亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属化学制药题材；同身位低分位，晋级概率有限,2779141472,093125,360169413,1,9.08
600721,百花医药,医疗服务,2,50.626441955566406,2.340802062433124,9.23,19.21,D,2板，首板晋级后延续；换手率50.6%过高，分歧大晋级率低；成交额27.4亿，资金关注度高（回测：大成交额晋级率高）；放量2.3倍，温和放量；所属医疗服务题材；同身位低分位，晋级概率有限,2739441728,104702,9600845,5,14.47
000560,我爱我家,房地产服,2,17.419845581054688,1.4933800181625763,8.46,19.21,D,2板，首板晋级后延续；换手率17.4%过高，分歧大晋级率低；成交额14.1亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属房地产服题材；同身位低分位，晋级概率有限,1412921344,093203,51987599,6,3.51
600403,大有能源,煤炭开采,1,4.603638172149658,1.0416177597995175,7.94,18.56,D,1板；换手率4.6%，筹码稳定；成交额7.9亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属煤炭开采题材；同身位低分位，晋级概率有限,793350768,130204,54083880,0,7.6
002912,中新赛克,计算机设,1,19.1052188873291,1.3019453110924324,7.65,18.56,D,1板；换手率19.1%过高，分歧大晋级率低；成交额7.9亿，资金关注度高（回测：大成交额晋级率高）；缩量涨停，筹码锁定；所属计算机设题材；同身位低分位，晋级概率有限,788692592,135542,7909119,2,26.38
002757,南兴股份,专用设备,1,13.916797637939453,3.2096402991919417,7.35,18.56,D,1板；成交额7.6亿，资金关注度高（回测：大成交额晋级率高）；放量3.2倍，未天量分歧；所属专用设备题材；同身位低分位，晋级概率有限,762325872,102936,111853347,0,19.86
